trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
703,False,"{'e': 0.0008849317805958146, 'a': 0.4}",25,17,9.237987681672388,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'e': 0.0008761265622582417, 'a': 0.4}",25,14,20.391680050702604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'e': 0.0008674089573070025, 'a': 0.4}",20,13,11.991526856616371,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'e': 0.0008587780939743365, 'a': 0.4}",20,1,31.747675778387563,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'e': 0.0008502331091667194, 'a': 0.4}",20,3,32.47302651931667,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'e': 0.000841773148378549, 'a': 0.4}",20,13,14.94478144237757,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'e': 0.0008333973656066964, 'a': 0.4}",20,8,20.250984023082687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'e': 0.0008251049232659038, 'a': 0.4}",25,13,-20.562628647731753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
711,False,"{'e': 0.0008168949921050283, 'a': 0.4}",20,9,23.95184906657086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'e': 0.0008087667511241114, 'a': 0.4}",20,10,20.458252805873908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'e': 0.0008007193874922814, 'a': 0.4}",20,16,4.935774238802757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'e': 0.0007927520964664684, 'a': 0.4}",25,13,18.04726068542413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'e': 0.0007848640813109316, 'a': 0.4}",35,8,48.383091006183044,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'e': 0.0007770545532175816, 'a': 0.4}",25,17,14.301772032117146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'e': 0.0007693227312271008, 'a': 0.4}",25,15,18.569549670591215,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'e': 0.0007616678421508473, 'a': 0.4}",20,14,9.826398232847087,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'e': 0.0007540891204935333, 'a': 0.4}",20,6,23.439365966476462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'e': 0.0007465858083766792, 'a': 0.4}",20,0,27.052598933191142,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
721,False,"{'e': 0.0007391571554628196, 'a': 0.4}",30,3,43.20117993542934,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'e': 0.0007318024188804728, 'a': 0.4}",30,16,21.669318518333228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'e': 0.0007245208631498506, 'a': 0.4}",25,7,24.37601658096215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'e': 0.0007173117601093135, 'a': 0.4}",25,11,22.454605863154146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'e': 0.000710174388842549, 'a': 0.4}",20,3,30.202138093933083,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'e': 0.0007031080356064829, 'a': 0.4}",20,2,32.575065771847235,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'e': 0.0006961119937599021, 'a': 0.4}",20,8,21.595432460186984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'e': 0.0006891855636927931, 'a': 0.4}",20,6,20.834159579863304,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
